Ký hiệu ngoại tệ,Tên ngoại tệ,Mua tiền mặt và Séc,Mua chuyển khoản,Bán,Bank Name,Date 
USD,US Dollar,"24,100","24,100","24,400",BIDV,2023-12-14
USD(1-2-5),Dollar My,"23,881",-,-,BIDV,2023-12-14
USD(10-20),Dollar My,"23,881",-,-,BIDV,2023-12-14
GBP,Euro,"29,994","30,175","31,125",BIDV,2023-12-14
HKD,HKD,"3,040","3,062","3,150",BIDV,2023-12-14
CHF,Franc,"27,283","27,448","28,305",BIDV,2023-12-14
JPY,JPY,167.12,168.13,175.9,BIDV,2023-12-14
THB,JPY,661.48,668.16,713.58,BIDV,2023-12-14
AUD,AUD,"15,969","16,066","16,518",BIDV,2023-12-14
CAD,CAD,"17,617","17,723","18,262",BIDV,2023-12-14
SGD,SGD,"17,870","17,977","18,479",BIDV,2023-12-14
SEK,SEK,-,"2,323","2,400",BIDV,2023-12-14
LAK,LAK,-,0.9,1.24,BIDV,2023-12-14
DKK,DKK,-,"3,488","3,603",BIDV,2023-12-14
NOK,NOK,-,"2,221","2,295",BIDV,2023-12-14
CNY,CNY,-,"3,363","3,454",BIDV,2023-12-14
RUB,RUB,-,245,314,BIDV,2023-12-14
NZD,NZD,"14,840","14,929","15,342",BIDV,2023-12-14
KRW,KRW,16.44,18.16,19.49,BIDV,2023-12-14
EUR,Euro,"25,944","26,015","27,136",BIDV,2023-12-14
TWD,TWD,701.6,-,847.59,BIDV,2023-12-14
MYR,MYR,"4,858.16",-,"5,471.69",BIDV,2023-12-14
SAR,SAR,-,"6,360.83","6,685.8",BIDV,2023-12-14
