Ký hiệu ngoại tệ,Tên ngoại tệ,Mua tiền mặt và Séc,Mua chuyển khoản,Bán,Bank Name,Date
USD,Dollar Mỹ,"24,200","24,200","24,500",BIDV,2023-12-20 08:53:42
USD(1-2-5),Dollar,"23,980",-,-,BIDV,2023-12-20 08:53:42
USD(10-20),Dollar,"23,980",-,-,BIDV,2023-12-20 08:53:42
GBP,Bảng Anh,"30,319","30,502","31,460",BIDV,2023-12-20 08:53:42
HKD,Dollar Hồng Kông,"3,057","3,078","3,167",BIDV,2023-12-20 08:53:42
CHF,Franc Thụy Sỹ,"27,686","27,853","28,721",BIDV,2023-12-20 08:53:42
JPY,Yên Nhật,165.36,166.36,174.04,BIDV,2023-12-20 08:53:42
THB,Baht Thái Lan,667.27,674.01,719.99,BIDV,2023-12-20 08:53:42
AUD,Dollar Australia,"16,117","16,214","16,670",BIDV,2023-12-20 08:53:42
CAD,Dollar Canada,"17,869","17,977","18,523",BIDV,2023-12-20 08:53:42
SGD,Dollar Singapore,"17,948","18,056","18,569",BIDV,2023-12-20 08:53:42
SEK,Krone Thụy Điển,-,"2,356","2,435",BIDV,2023-12-20 08:53:42
LAK,Kip Lào,-,0.9,1.25,BIDV,2023-12-20 08:53:42
DKK,Krone Đan Mạch,-,"3,526","3,642",BIDV,2023-12-20 08:53:42
NOK,Krone Na Uy,-,"2,332","2,410",BIDV,2023-12-20 08:53:42
CNY,Nhân Dân Tệ,-,"3,380","3,472",BIDV,2023-12-20 08:53:42
RUB,Rub Nga,-,243,312,BIDV,2023-12-20 08:53:42
NZD,Dollar New Zealand,"14,980","15,071","15,479",BIDV,2023-12-20 08:53:42
KRW,Won Hàn Quốc,16.42,18.14,19.46,BIDV,2023-12-20 08:53:42
EUR,Euro,"26,227","26,298","27,437",BIDV,2023-12-20 08:53:42
TWD,Dollar Đài Loan,703.3,-,849.51,BIDV,2023-12-20 08:53:42
MYR,Ringgit Malaysia,"4,892.98",-,"5,509.46",BIDV,2023-12-20 08:53:42
SAR,Saudi Arabian Riyals,-,"6,387.22","6,712.66",BIDV,2023-12-20 08:53:42
