Currency Code,Currency Name,Buy,Transfer,Sell,BankName,Date
AUD,AUSTRALIAN DOLLAR   ,"15,830.68","15,990.59","16,504.81",VCB,14/12/2023
CAD,CANADIAN DOLLAR     ,"17,556.80","17,734.14","18,304.43",VCB,14/12/2023
CHF,SWISS FRANC         ,"27,173.97","27,448.45","28,331.14",VCB,14/12/2023
CNY,YUAN RENMINBI       ,"3,328.83","3,362.45","3,471.11",VCB,14/12/2023
DKK,DANISH KRONE        ,-,"3,482.10","3,615.72",VCB,14/12/2023
EUR,EURO                ,"25,768.57","26,028.86","27,183.52",VCB,14/12/2023
GBP,POUND STERLING      ,"29,894.00","30,195.96","31,167.00",VCB,14/12/2023
HKD,HONGKONG DOLLAR     ,"3,027.06","3,057.64","3,155.97",VCB,14/12/2023
INR,INDIAN RUPEE        ,-,290.17,301.80,VCB,14/12/2023
JPY,YEN                 ,166.41,168.09,176.15,VCB,14/12/2023
KRW,KOREAN WON          ,16.19,17.99,19.62,VCB,14/12/2023
KWD,KUWAITI DINAR       ,-,"78,665.05","81,816.07",VCB,14/12/2023
MYR,MALAYSIAN RINGGIT   ,-,"5,137.07","5,249.50",VCB,14/12/2023
NOK,NORWEGIAN KRONER    ,-,"2,241.32","2,336.66",VCB,14/12/2023
RUB,RUSSIAN RUBLE       ,-,257.56,285.14,VCB,14/12/2023
SAR,SAUDI RIAL          ,-,"6,447.06","6,705.31",VCB,14/12/2023
SEK,SWEDISH KRONA       ,-,"2,311.51","2,409.83",VCB,14/12/2023
SGD,SINGAPORE DOLLAR    ,"17,766.65","17,946.11","18,523.23",VCB,14/12/2023
THB,THAILAND BAHT       ,611.17,679.07,705.13,VCB,14/12/2023
USD,US DOLLAR           ,"24,050.00","24,080.00","24,420.00",VCB,14/12/2023
